source,symbol,base_asset,quote_asset,price,volume_24h,market_cap,rank,timestamp,raw_symbol,canonical_symbol,exchange,extra_metadata
coinmarketcap,BTC,BTC,USD,66842.08340263428,38469853590.166046,1337479742580.85,1,2026-03-31 13:33:59.686346+00:00,bitcoin,BTC,,"{""name"": ""Bitcoin"", ""circulating_supply"": 20009546.0, ""percent_change_24h"": -1.38307473}"
coinmarketcap,ETH,ETH,USD,2061.6276175896937,17686580761.20831,248820753375.59,2,2026-03-31 13:33:59.686346+00:00,ethereum,ETH,,"{""name"": ""Ethereum"", ""circulating_supply"": 120691414.5176662, ""percent_change_24h"": -0.61827766}"
coinmarketcap,USDT,USDT,USD,0.9992087457730355,73846220890.15819,184076237769.5,3,2026-03-31 13:33:59.686346+00:00,tether,USDT,,"{""name"": ""Tether USDt"", ""circulating_supply"": 184222004209.02814, ""percent_change_24h"": -0.00967102}"
coinmarketcap,BNB,BNB,USD,607.2990273611881,1646637058.3593519,82809553594.85,4,2026-03-31 13:33:59.686346+00:00,bnb,BNB,,"{""name"": ""BNB"", ""circulating_supply"": 136357131.93, ""percent_change_24h"": -1.83853544}"
coinmarketcap,XRP,XRP,USD,1.3202249544414617,1868074323.9871914,80988650291.86,5,2026-03-31 13:33:59.686346+00:00,xrp,XRP,,"{""name"": ""XRP"", ""circulating_supply"": 61344583754.0, ""percent_change_24h"": -2.3662885}"
coinmarketcap,USDC,USDC,USD,0.9996087447890567,10489029889.30829,77424112678.31,6,2026-03-31 13:33:59.686346+00:00,usd-coin,USDC,,"{""name"": ""USDC"", ""circulating_supply"": 77454417122.6201, ""percent_change_24h"": -0.01889397}"
coinmarketcap,SOL,SOL,USD,81.01101928235074,4309116785.49762,46388167902.7,7,2026-03-31 13:33:59.686346+00:00,solana,SOL,,"{""name"": ""Solana"", ""circulating_supply"": 572615531.9812257, ""percent_change_24h"": -4.2127351}"
coinmarketcap,TRX,TRX,USD,0.3151860776552876,611540676.811876,29868146243.99,8,2026-03-31 13:33:59.686346+00:00,tron,TRX,,"{""name"": ""TRON"", ""circulating_supply"": 94763532914.2198, ""percent_change_24h"": -0.96808449}"
coinmarketcap,DOGE,DOGE,USD,0.09076812383576038,999605326.4807854,15371507625.52,9,2026-03-31 13:33:59.686346+00:00,dogecoin,DOGE,,"{""name"": ""Dogecoin"", ""circulating_supply"": 169349183126.57907, ""percent_change_24h"": -2.34230588}"
coinmarketcap,BCH,BCH,USD,467.6588225786309,283794150.3885162,9360132876.56,10,2026-03-31 13:33:59.686346+00:00,bitcoin-cash,BCH,,"{""name"": ""Bitcoin Cash"", ""circulating_supply"": 20014875.0, ""percent_change_24h"": 2.06394174}"
coinmarketcap,HYPE,HYPE,USD,36.13150976454001,290566595.70467174,9258465045.42,11,2026-03-31 13:33:59.686346+00:00,hyperliquid,HYPE,,"{""name"": ""Hyperliquid"", ""circulating_supply"": 256243514.4767488, ""percent_change_24h"": -5.97492021}"
coinmarketcap,LEO,LEO,USD,9.991262139402398,1600325.73643993,9201619430.61,12,2026-03-31 13:33:59.686346+00:00,unus-sed-leo,LEO,,"{""name"": ""UNUS SED LEO"", ""circulating_supply"": 920966670.9, ""percent_change_24h"": 2.89790965}"
coinmarketcap,ADA,ADA,USD,0.2418408683693143,394209870.4265371,8729594521.75,13,2026-03-31 13:33:59.686346+00:00,cardano,ADA,,"{""name"": ""Cardano"", ""circulating_supply"": 36096440525.57868, ""percent_change_24h"": -3.34725182}"
coinmarketcap,LINK,LINK,USD,8.671228676131179,306931194.56194866,6140096769.36,14,2026-03-31 13:33:59.686346+00:00,chainlink,LINK,,"{""name"": ""Chainlink"", ""circulating_supply"": 708099970.4525567, ""percent_change_24h"": -2.24948746}"
coinmarketcap,XMR,XMR,USD,322.57454113833035,88542712.47319233,5950450005.07,15,2026-03-31 13:33:59.686346+00:00,monero,XMR,,"{""name"": ""Monero"", ""circulating_supply"": 18446744.07370955, ""percent_change_24h"": -4.26762687}"
coinmarketcap,USDE,USDE,USD,0.9991342725885252,74920556.58641401,5878778466.7,16,2026-03-31 13:33:59.686346+00:00,ethena-usde,USDE,,"{""name"": ""Ethena USDe"", ""circulating_supply"": 5883872296.233442, ""percent_change_24h"": 0.00458186}"
coinmarketcap,CC,CC,USD,0.14340063859889823,11065612.30718042,5476322479.42,17,2026-03-31 13:33:59.686346+00:00,canton-network,CC,,"{""name"": ""Canton"", ""circulating_supply"": 38188968563.35022, ""percent_change_24h"": -5.44897831}"
coinmarketcap,XLM,XLM,USD,0.16472513927102478,99200728.79063644,5442960082.67,18,2026-03-31 13:33:59.686346+00:00,stellar,XLM,,"{""name"": ""Stellar"", ""circulating_supply"": 33042680107.957584, ""percent_change_24h"": -4.58420521}"
coinmarketcap,DAI,DAI,USD,0.9998208712721234,372884785.5642208,5364421608.49,19,2026-03-31 13:33:59.686346+00:00,multi-collateral-dai,DAI,,"{""name"": ""Dai"", ""circulating_supply"": 5365382702.664872, ""percent_change_24h"": -0.00403117}"
coinmarketcap,USD1,USD1,USD,0.9996962739914035,1265086629.4671988,4378429609.53,20,2026-03-31 13:33:59.686346+00:00,usd1,USD1,,"{""name"": ""World Liberty Financial USD"", ""circulating_supply"": 4379759856.508347, ""percent_change_24h"": 0.01807497}"
