symbol,quote_asset,volume_24h,last_price,rank_volume,selected
BTCUSDT,USDT,1330295262.113515,70727.08,1,True
NIGHTUSDT,USDT,1033824747.53682,0.04499,2,True
ETHUSDT,USDT,637928042.795002,2161.65,3,True
SOLUSDT,USDT,260164732.65128,91.24,4,True
TAOUSDT,USDT,208745309.10105,348.6,5,True
XRPUSDT,USDT,149271256.634,1.4115,6,True
PAXGUSDT,USDT,113843182.515473,4525.61,7,True
SAHARAUSDT,USDT,97163195.4863,0.02784,8,True
DOGEUSDT,USDT,81365374.48433,0.09588,9,True
BNBUSDT,USDT,77218080.00424,644.94,10,True
ZECUSDT,USDT,72382445.45486,231.78,11,True
RLUSDUSDT,USDT,63788401.5934,1.0004,12,True
ROBOUSDT,USDT,49486547.26578,0.02301,13,True
FETUSDT,USDT,40495441.31795,0.2617,14,True
ADAUSDT,USDT,34581045.26933,0.2691,15,True
PEPEUSDT,USDT,33962005.51048105,3.51e-06,16,True
TRXUSDT,USDT,30485802.62832,0.3151,17,True
LINKUSDT,USDT,28362638.9531,9.29,18,True
SUIUSDT,USDT,24927949.61319,0.9596,19,True
ENAUSDT,USDT,21108116.573955,0.101,20,True
AVAXUSDT,USDT,19208463.783,9.63,21,True
ONTUSDT,USDT,19100612.71511,0.0562,22,True
LTCUSDT,USDT,17928999.79623,56.2,23,True
NEARUSDT,USDT,17345151.8682,1.276,24,True
UUSDT,USDT,16749798.8453,1.0001,25,True
XLMUSDT,USDT,16027647.1066,0.1766,26,True
RENDERUSDT,USDT,16019797.09792,1.846,27,True
KITEUSDT,USDT,13002619.46336,0.2477,28,True
PUMPUSDT,USDT,12983677.205394,0.001903,29,True
APTUSDT,USDT,12611094.84767,1.067,30,True
UNIUSDT,USDT,12263109.75594,3.688,31,True
TRUMPUSDT,USDT,12074488.337922,3.244,32,True
CUSDT,USDT,11788802.0095,0.0606,33,True
WLDUSDT,USDT,11766720.60967,0.3184,34,True
CFGUSDT,USDT,11217986.21528,0.1423,35,True
DOTUSDT,USDT,11152945.90538,1.354,36,True
JTOUSDT,USDT,10743801.88255,0.3409,37,True
AAVEUSDT,USDT,10708650.90687,111.8,38,True
ASTERUSDT,USDT,10389530.19193,0.66,39,True
VIRTUALUSDT,USDT,10040439.21507,0.7206,40,True
