timestamp,open,high,low,close,volume,symbol,interval,source
2026-01-01 19:00:00+00:00,1.523,1.533,1.502,1.517,2937135.39,FILUSDT,1h,cryptocompare
2026-01-01 20:00:00+00:00,1.517,1.529,1.494,1.494,2661391.63,FILUSDT,1h,cryptocompare
2026-01-01 21:00:00+00:00,1.494,1.504,1.49,1.5,2231354.0,FILUSDT,1h,cryptocompare
2026-01-01 22:00:00+00:00,1.5,1.509,1.475,1.496,2892300.87,FILUSDT,1h,cryptocompare
2026-01-01 23:00:00+00:00,1.496,1.499,1.482,1.484,2209113.1,FILUSDT,1h,cryptocompare
2026-01-02 00:00:00+00:00,1.484,1.506,1.476,1.487,2930134.63,FILUSDT,1h,cryptocompare
2026-01-02 01:00:00+00:00,1.487,1.494,1.469,1.476,2824105.6,FILUSDT,1h,cryptocompare
2026-01-02 02:00:00+00:00,1.476,1.476,1.455,1.469,3405328.39,FILUSDT,1h,cryptocompare
2026-01-02 03:00:00+00:00,1.469,1.49,1.466,1.489,2503150.55,FILUSDT,1h,cryptocompare
2026-01-02 04:00:00+00:00,1.489,1.492,1.468,1.47,1689192.35,FILUSDT,1h,cryptocompare
2026-01-02 05:00:00+00:00,1.47,1.475,1.458,1.467,1536180.11,FILUSDT,1h,cryptocompare
2026-01-02 06:00:00+00:00,1.467,1.469,1.451,1.451,1572129.61,FILUSDT,1h,cryptocompare
2026-01-02 07:00:00+00:00,1.451,1.453,1.437,1.45,2062494.52,FILUSDT,1h,cryptocompare
2026-01-02 08:00:00+00:00,1.45,1.454,1.442,1.449,1281623.68,FILUSDT,1h,cryptocompare
2026-01-02 09:00:00+00:00,1.449,1.465,1.444,1.457,1862314.34,FILUSDT,1h,cryptocompare
2026-01-02 10:00:00+00:00,1.457,1.461,1.454,1.456,1477444.69,FILUSDT,1h,cryptocompare
2026-01-02 11:00:00+00:00,1.456,1.457,1.419,1.429,3856473.92,FILUSDT,1h,cryptocompare
2026-01-02 12:00:00+00:00,1.429,1.44,1.427,1.436,1631528.85,FILUSDT,1h,cryptocompare
2026-01-02 13:00:00+00:00,1.436,1.436,1.425,1.428,1492539.11,FILUSDT,1h,cryptocompare
2026-01-02 14:00:00+00:00,1.428,1.452,1.423,1.437,3617151.67,FILUSDT,1h,cryptocompare
2026-01-02 15:00:00+00:00,1.437,1.448,1.424,1.434,2774331.56,FILUSDT,1h,cryptocompare
2026-01-02 16:00:00+00:00,1.434,1.463,1.433,1.456,2885327.79,FILUSDT,1h,cryptocompare
2026-01-02 17:00:00+00:00,1.456,1.461,1.448,1.456,2524530.41,FILUSDT,1h,cryptocompare
2026-01-02 18:00:00+00:00,1.456,1.468,1.446,1.454,2014136.79,FILUSDT,1h,cryptocompare
2026-01-02 19:00:00+00:00,1.454,1.471,1.454,1.469,1510175.25,FILUSDT,1h,cryptocompare
2026-01-02 20:00:00+00:00,1.469,1.479,1.46,1.476,1254494.14,FILUSDT,1h,cryptocompare
2026-01-02 21:00:00+00:00,1.476,1.48,1.467,1.477,1781076.36,FILUSDT,1h,cryptocompare
2026-01-02 22:00:00+00:00,1.477,1.501,1.473,1.495,2971781.47,FILUSDT,1h,cryptocompare
2026-01-02 23:00:00+00:00,1.495,1.506,1.492,1.504,2115109.65,FILUSDT,1h,cryptocompare
2026-01-03 00:00:00+00:00,1.504,1.532,1.487,1.513,3392309.2,FILUSDT,1h,cryptocompare
2026-01-03 01:00:00+00:00,1.513,1.529,1.502,1.528,2332809.91,FILUSDT,1h,cryptocompare
2026-01-03 02:00:00+00:00,1.528,1.576,1.524,1.559,7832722.31,FILUSDT,1h,cryptocompare
2026-01-03 03:00:00+00:00,1.559,1.559,1.53,1.542,2607507.28,FILUSDT,1h,cryptocompare
2026-01-03 04:00:00+00:00,1.542,1.545,1.523,1.536,2296180.09,FILUSDT,1h,cryptocompare
2026-01-03 05:00:00+00:00,1.536,1.537,1.513,1.522,2214363.44,FILUSDT,1h,cryptocompare
2026-01-03 06:00:00+00:00,1.522,1.533,1.503,1.504,1958023.76,FILUSDT,1h,cryptocompare
2026-01-03 07:00:00+00:00,1.504,1.509,1.456,1.469,5127983.5,FILUSDT,1h,cryptocompare
2026-01-03 08:00:00+00:00,1.469,1.479,1.462,1.471,1752748.04,FILUSDT,1h,cryptocompare
2026-01-03 09:00:00+00:00,1.471,1.479,1.465,1.47,1748644.61,FILUSDT,1h,cryptocompare
2026-01-03 10:00:00+00:00,1.47,1.473,1.464,1.465,1247522.83,FILUSDT,1h,cryptocompare
2026-01-03 11:00:00+00:00,1.465,1.468,1.461,1.464,929457.38,FILUSDT,1h,cryptocompare
2026-01-03 12:00:00+00:00,1.464,1.47,1.456,1.468,1355715.35,FILUSDT,1h,cryptocompare
2026-01-03 13:00:00+00:00,1.468,1.482,1.466,1.48,1215309.84,FILUSDT,1h,cryptocompare
2026-01-03 14:00:00+00:00,1.48,1.48,1.465,1.468,1578238.19,FILUSDT,1h,cryptocompare
2026-01-03 15:00:00+00:00,1.468,1.471,1.461,1.465,888559.18,FILUSDT,1h,cryptocompare
2026-01-03 16:00:00+00:00,1.465,1.478,1.464,1.468,1438612.88,FILUSDT,1h,cryptocompare
2026-01-03 17:00:00+00:00,1.468,1.476,1.467,1.474,569798.73,FILUSDT,1h,cryptocompare
2026-01-03 18:00:00+00:00,1.474,1.479,1.463,1.475,647246.7,FILUSDT,1h,cryptocompare
2026-01-03 19:00:00+00:00,1.475,1.478,1.471,1.478,402738.4,FILUSDT,1h,cryptocompare
2026-01-03 20:00:00+00:00,1.478,1.501,1.471,1.486,1423076.15,FILUSDT,1h,cryptocompare
2026-01-03 21:00:00+00:00,1.486,1.502,1.485,1.489,1628466.65,FILUSDT,1h,cryptocompare
2026-01-03 22:00:00+00:00,1.489,1.497,1.487,1.49,922933.58,FILUSDT,1h,cryptocompare
2026-01-03 23:00:00+00:00,1.49,1.497,1.481,1.494,1205436.57,FILUSDT,1h,cryptocompare
2026-01-04 00:00:00+00:00,1.494,1.503,1.491,1.499,1850776.87,FILUSDT,1h,cryptocompare
2026-01-04 01:00:00+00:00,1.499,1.511,1.494,1.5,1581405.93,FILUSDT,1h,cryptocompare
2026-01-04 02:00:00+00:00,1.5,1.505,1.484,1.487,3428068.1,FILUSDT,1h,cryptocompare
2026-01-04 03:00:00+00:00,1.487,1.499,1.486,1.495,995070.04,FILUSDT,1h,cryptocompare
2026-01-04 04:00:00+00:00,1.495,1.496,1.482,1.483,959247.95,FILUSDT,1h,cryptocompare
2026-01-04 05:00:00+00:00,1.483,1.493,1.482,1.492,726279.26,FILUSDT,1h,cryptocompare
2026-01-04 06:00:00+00:00,1.492,1.501,1.468,1.473,2208836.01,FILUSDT,1h,cryptocompare
2026-01-04 07:00:00+00:00,1.473,1.487,1.471,1.484,1385055.97,FILUSDT,1h,cryptocompare
2026-01-04 08:00:00+00:00,1.484,1.52,1.475,1.518,2757471.32,FILUSDT,1h,cryptocompare
2026-01-04 09:00:00+00:00,1.518,1.524,1.497,1.508,5892927.52,FILUSDT,1h,cryptocompare
2026-01-04 10:00:00+00:00,1.508,1.515,1.495,1.496,2035379.07,FILUSDT,1h,cryptocompare
2026-01-04 11:00:00+00:00,1.496,1.505,1.491,1.502,1134030.27,FILUSDT,1h,cryptocompare
2026-01-04 12:00:00+00:00,1.502,1.516,1.499,1.504,1459393.59,FILUSDT,1h,cryptocompare
2026-01-04 13:00:00+00:00,1.504,1.511,1.495,1.51,2107719.18,FILUSDT,1h,cryptocompare
2026-01-04 14:00:00+00:00,1.51,1.51,1.497,1.504,1167653.52,FILUSDT,1h,cryptocompare
2026-01-04 15:00:00+00:00,1.504,1.507,1.49,1.503,1332954.69,FILUSDT,1h,cryptocompare
2026-01-04 16:00:00+00:00,1.503,1.51,1.498,1.508,1690147.63,FILUSDT,1h,cryptocompare
2026-01-04 17:00:00+00:00,1.508,1.514,1.496,1.504,1564409.53,FILUSDT,1h,cryptocompare
2026-01-04 18:00:00+00:00,1.504,1.506,1.488,1.497,1069372.69,FILUSDT,1h,cryptocompare
2026-01-04 19:00:00+00:00,1.497,1.497,1.476,1.491,2686439.99,FILUSDT,1h,cryptocompare
2026-01-04 20:00:00+00:00,1.491,1.496,1.486,1.489,815549.83,FILUSDT,1h,cryptocompare
2026-01-04 21:00:00+00:00,1.489,1.497,1.478,1.488,977012.99,FILUSDT,1h,cryptocompare
2026-01-04 22:00:00+00:00,1.488,1.496,1.484,1.492,865365.8,FILUSDT,1h,cryptocompare
2026-01-04 23:00:00+00:00,1.492,1.502,1.486,1.494,1020963.11,FILUSDT,1h,cryptocompare
2026-01-05 00:00:00+00:00,1.494,1.509,1.49,1.502,2882863.13,FILUSDT,1h,cryptocompare
2026-01-05 01:00:00+00:00,1.502,1.532,1.499,1.52,3420218.87,FILUSDT,1h,cryptocompare
2026-01-05 02:00:00+00:00,1.52,1.538,1.511,1.517,2359104.58,FILUSDT,1h,cryptocompare
2026-01-05 03:00:00+00:00,1.517,1.523,1.511,1.519,1333498.54,FILUSDT,1h,cryptocompare
2026-01-05 04:00:00+00:00,1.519,1.53,1.493,1.505,2630772.98,FILUSDT,1h,cryptocompare
2026-01-05 05:00:00+00:00,1.505,1.518,1.497,1.502,1326111.17,FILUSDT,1h,cryptocompare
2026-01-05 06:00:00+00:00,1.502,1.503,1.477,1.484,2496784.27,FILUSDT,1h,cryptocompare
2026-01-05 07:00:00+00:00,1.484,1.497,1.47,1.49,1605518.87,FILUSDT,1h,cryptocompare
2026-01-05 08:00:00+00:00,1.49,1.494,1.474,1.482,1217503.0,FILUSDT,1h,cryptocompare
2026-01-05 09:00:00+00:00,1.482,1.483,1.469,1.47,1716725.09,FILUSDT,1h,cryptocompare
2026-01-05 10:00:00+00:00,1.47,1.482,1.461,1.474,1830521.96,FILUSDT,1h,cryptocompare
2026-01-05 11:00:00+00:00,1.474,1.49,1.469,1.482,1110043.21,FILUSDT,1h,cryptocompare
2026-01-05 12:00:00+00:00,1.482,1.546,1.482,1.529,5730865.46,FILUSDT,1h,cryptocompare
2026-01-05 13:00:00+00:00,1.529,1.534,1.499,1.511,4667195.05,FILUSDT,1h,cryptocompare
2026-01-05 14:00:00+00:00,1.511,1.552,1.511,1.541,5206013.21,FILUSDT,1h,cryptocompare
2026-01-05 15:00:00+00:00,1.541,1.655,1.541,1.652,15926248.1,FILUSDT,1h,cryptocompare
2026-01-05 16:00:00+00:00,1.652,1.687,1.575,1.589,13738111.55,FILUSDT,1h,cryptocompare
2026-01-05 17:00:00+00:00,1.589,1.629,1.578,1.626,5594688.43,FILUSDT,1h,cryptocompare
2026-01-05 18:00:00+00:00,1.626,1.629,1.596,1.608,2994073.53,FILUSDT,1h,cryptocompare
2026-01-05 19:00:00+00:00,1.608,1.611,1.571,1.581,2661588.53,FILUSDT,1h,cryptocompare
