timestamp,open,high,low,close,volume,symbol,interval,source
2026-01-01 19:00:00+00:00,0.1122,0.1136,0.1121,0.1136,992535.16,HBARUSDT,1h,cryptocompare
2026-01-01 20:00:00+00:00,0.1136,0.1139,0.1127,0.113,1445127.66,HBARUSDT,1h,cryptocompare
2026-01-01 21:00:00+00:00,0.113,0.1133,0.1121,0.1128,1138826.59,HBARUSDT,1h,cryptocompare
2026-01-01 22:00:00+00:00,0.1128,0.1141,0.1128,0.1141,1603776.49,HBARUSDT,1h,cryptocompare
2026-01-01 23:00:00+00:00,0.1141,0.1145,0.1139,0.1144,1432767.43,HBARUSDT,1h,cryptocompare
2026-01-02 00:00:00+00:00,0.1144,0.1146,0.1131,0.1135,1166730.37,HBARUSDT,1h,cryptocompare
2026-01-02 01:00:00+00:00,0.1135,0.1141,0.1135,0.114,768939.9,HBARUSDT,1h,cryptocompare
2026-01-02 02:00:00+00:00,0.114,0.1142,0.1136,0.1142,895389.55,HBARUSDT,1h,cryptocompare
2026-01-02 03:00:00+00:00,0.1142,0.116,0.1141,0.116,1609344.26,HBARUSDT,1h,cryptocompare
2026-01-02 04:00:00+00:00,0.116,0.1162,0.1153,0.1157,1080422.81,HBARUSDT,1h,cryptocompare
2026-01-02 05:00:00+00:00,0.1157,0.1162,0.1155,0.1158,937894.43,HBARUSDT,1h,cryptocompare
2026-01-02 06:00:00+00:00,0.1158,0.1165,0.1158,0.1161,1127177.98,HBARUSDT,1h,cryptocompare
2026-01-02 07:00:00+00:00,0.1161,0.1169,0.115,0.1153,1500739.82,HBARUSDT,1h,cryptocompare
2026-01-02 08:00:00+00:00,0.1153,0.1162,0.1152,0.1162,1362314.01,HBARUSDT,1h,cryptocompare
2026-01-02 09:00:00+00:00,0.1162,0.1186,0.116,0.1177,2899377.24,HBARUSDT,1h,cryptocompare
2026-01-02 10:00:00+00:00,0.1177,0.1197,0.1177,0.1193,2861196.96,HBARUSDT,1h,cryptocompare
2026-01-02 11:00:00+00:00,0.1193,0.1195,0.118,0.1186,1828349.22,HBARUSDT,1h,cryptocompare
2026-01-02 12:00:00+00:00,0.1186,0.1202,0.1184,0.1202,1614272.64,HBARUSDT,1h,cryptocompare
2026-01-02 13:00:00+00:00,0.1202,0.1204,0.1194,0.1195,1467833.04,HBARUSDT,1h,cryptocompare
2026-01-02 14:00:00+00:00,0.1195,0.1205,0.1182,0.1197,3917575.11,HBARUSDT,1h,cryptocompare
2026-01-02 15:00:00+00:00,0.1197,0.1205,0.1186,0.1192,3325750.34,HBARUSDT,1h,cryptocompare
2026-01-02 16:00:00+00:00,0.1192,0.1213,0.1188,0.1203,5269359.99,HBARUSDT,1h,cryptocompare
2026-01-02 17:00:00+00:00,0.1203,0.1209,0.1196,0.1203,4566626.74,HBARUSDT,1h,cryptocompare
2026-01-02 18:00:00+00:00,0.1203,0.1204,0.1187,0.119,2222064.79,HBARUSDT,1h,cryptocompare
2026-01-02 19:00:00+00:00,0.119,0.1202,0.1187,0.1198,2152372.28,HBARUSDT,1h,cryptocompare
2026-01-02 20:00:00+00:00,0.1198,0.1208,0.1198,0.1205,2667806.14,HBARUSDT,1h,cryptocompare
2026-01-02 21:00:00+00:00,0.1205,0.1215,0.1201,0.121,3605534.78,HBARUSDT,1h,cryptocompare
2026-01-02 22:00:00+00:00,0.121,0.1223,0.121,0.1217,2757866.7,HBARUSDT,1h,cryptocompare
2026-01-02 23:00:00+00:00,0.1217,0.1223,0.1213,0.1216,2046700.83,HBARUSDT,1h,cryptocompare
2026-01-03 00:00:00+00:00,0.1216,0.1223,0.1216,0.1216,1819399.06,HBARUSDT,1h,cryptocompare
2026-01-03 01:00:00+00:00,0.1216,0.122,0.1214,0.1216,2066456.66,HBARUSDT,1h,cryptocompare
2026-01-03 02:00:00+00:00,0.1216,0.1218,0.1207,0.1217,1752986.76,HBARUSDT,1h,cryptocompare
2026-01-03 03:00:00+00:00,0.1217,0.1219,0.1208,0.1217,3098780.37,HBARUSDT,1h,cryptocompare
2026-01-03 04:00:00+00:00,0.1217,0.1218,0.1208,0.121,1131732.95,HBARUSDT,1h,cryptocompare
2026-01-03 05:00:00+00:00,0.121,0.1216,0.1207,0.1209,1063536.42,HBARUSDT,1h,cryptocompare
2026-01-03 06:00:00+00:00,0.1209,0.1213,0.1191,0.1193,1675275.25,HBARUSDT,1h,cryptocompare
2026-01-03 07:00:00+00:00,0.1193,0.1196,0.1172,0.1176,2111835.99,HBARUSDT,1h,cryptocompare
2026-01-03 08:00:00+00:00,0.1176,0.1186,0.1174,0.118,1302256.61,HBARUSDT,1h,cryptocompare
