timestamp,open,high,low,close,volume,symbol,interval,source
2026-01-01 19:00:00+00:00,5.783,5.832,5.773,5.832,1221516.05,UNIUSDT,1h,cryptocompare
2026-01-01 20:00:00+00:00,5.832,5.841,5.788,5.8,2347173.32,UNIUSDT,1h,cryptocompare
2026-01-01 21:00:00+00:00,5.8,5.821,5.785,5.795,930400.92,UNIUSDT,1h,cryptocompare
2026-01-01 22:00:00+00:00,5.795,5.829,5.793,5.816,1220077.21,UNIUSDT,1h,cryptocompare
2026-01-01 23:00:00+00:00,5.816,5.831,5.798,5.809,1262597.21,UNIUSDT,1h,cryptocompare
2026-01-02 00:00:00+00:00,5.809,5.817,5.769,5.778,1338410.54,UNIUSDT,1h,cryptocompare
2026-01-02 01:00:00+00:00,5.778,5.795,5.731,5.741,1197200.62,UNIUSDT,1h,cryptocompare
2026-01-02 02:00:00+00:00,5.741,5.774,5.672,5.764,3350216.68,UNIUSDT,1h,cryptocompare
2026-01-02 03:00:00+00:00,5.764,5.836,5.751,5.809,2500936.15,UNIUSDT,1h,cryptocompare
2026-01-02 04:00:00+00:00,5.809,5.817,5.772,5.783,1447717.4,UNIUSDT,1h,cryptocompare
2026-01-02 05:00:00+00:00,5.783,5.784,5.748,5.771,1182876.03,UNIUSDT,1h,cryptocompare
2026-01-02 06:00:00+00:00,5.771,5.804,5.77,5.781,1684659.68,UNIUSDT,1h,cryptocompare
2026-01-02 07:00:00+00:00,5.781,5.791,5.736,5.746,1631025.53,UNIUSDT,1h,cryptocompare
2026-01-02 08:00:00+00:00,5.746,5.776,5.74,5.775,1097691.1,UNIUSDT,1h,cryptocompare
2026-01-02 09:00:00+00:00,5.775,5.884,5.763,5.868,3265138.52,UNIUSDT,1h,cryptocompare
2026-01-02 10:00:00+00:00,5.868,5.895,5.847,5.872,2012598.28,UNIUSDT,1h,cryptocompare
2026-01-02 11:00:00+00:00,5.872,5.874,5.775,5.802,2017456.27,UNIUSDT,1h,cryptocompare
2026-01-02 12:00:00+00:00,5.802,5.857,5.775,5.826,1695638.6,UNIUSDT,1h,cryptocompare
2026-01-02 13:00:00+00:00,5.826,5.851,5.808,5.812,1476639.79,UNIUSDT,1h,cryptocompare
2026-01-02 14:00:00+00:00,5.812,5.888,5.737,5.827,4605571.94,UNIUSDT,1h,cryptocompare
2026-01-02 15:00:00+00:00,5.827,5.916,5.763,5.863,4299049.6,UNIUSDT,1h,cryptocompare
2026-01-02 16:00:00+00:00,5.863,5.962,5.838,5.929,4342870.28,UNIUSDT,1h,cryptocompare
2026-01-02 17:00:00+00:00,5.929,5.973,5.918,5.958,3205677.53,UNIUSDT,1h,cryptocompare
2026-01-02 18:00:00+00:00,5.958,5.992,5.914,5.951,2443771.07,UNIUSDT,1h,cryptocompare
2026-01-02 19:00:00+00:00,5.951,6.022,5.95,6.018,1825780.2,UNIUSDT,1h,cryptocompare
2026-01-02 20:00:00+00:00,6.018,6.041,5.993,6.008,1473771.65,UNIUSDT,1h,cryptocompare
2026-01-02 21:00:00+00:00,6.008,6.068,6.008,6.063,1647332.16,UNIUSDT,1h,cryptocompare
2026-01-02 22:00:00+00:00,6.063,6.098,6.051,6.066,2397161.19,UNIUSDT,1h,cryptocompare
2026-01-02 23:00:00+00:00,6.066,6.094,6.028,6.039,2058789.25,UNIUSDT,1h,cryptocompare
2026-01-03 00:00:00+00:00,6.039,6.109,6.036,6.091,2327725.14,UNIUSDT,1h,cryptocompare
2026-01-03 01:00:00+00:00,6.091,6.12,6.074,6.097,1822505.49,UNIUSDT,1h,cryptocompare
2026-01-03 02:00:00+00:00,6.097,6.098,6.059,6.062,2046250.54,UNIUSDT,1h,cryptocompare
2026-01-03 03:00:00+00:00,6.062,6.077,6.043,6.059,1715381.71,UNIUSDT,1h,cryptocompare
2026-01-03 04:00:00+00:00,6.059,6.062,6.025,6.031,1512002.87,UNIUSDT,1h,cryptocompare
2026-01-03 05:00:00+00:00,6.031,6.058,5.97,5.982,2785201.11,UNIUSDT,1h,cryptocompare
2026-01-03 06:00:00+00:00,5.982,6.025,5.797,5.824,7222529.01,UNIUSDT,1h,cryptocompare
2026-01-03 07:00:00+00:00,5.824,5.837,5.747,5.785,4890771.83,UNIUSDT,1h,cryptocompare
2026-01-03 08:00:00+00:00,5.785,5.83,5.764,5.809,3154535.4,UNIUSDT,1h,cryptocompare
2026-01-03 09:00:00+00:00,5.809,5.844,5.781,5.818,2082078.23,UNIUSDT,1h,cryptocompare
2026-01-03 10:00:00+00:00,5.818,5.82,5.791,5.795,1244654.28,UNIUSDT,1h,cryptocompare
2026-01-03 11:00:00+00:00,5.795,5.808,5.773,5.807,1834311.55,UNIUSDT,1h,cryptocompare
2026-01-03 12:00:00+00:00,5.807,5.836,5.798,5.831,1686693.11,UNIUSDT,1h,cryptocompare
2026-01-03 13:00:00+00:00,5.831,5.849,5.826,5.835,1484780.98,UNIUSDT,1h,cryptocompare
2026-01-03 14:00:00+00:00,5.835,5.85,5.817,5.827,1478957.34,UNIUSDT,1h,cryptocompare
2026-01-03 15:00:00+00:00,5.827,5.83,5.799,5.814,1186313.47,UNIUSDT,1h,cryptocompare
2026-01-03 16:00:00+00:00,5.814,5.896,5.809,5.876,1530589.46,UNIUSDT,1h,cryptocompare
2026-01-03 17:00:00+00:00,5.876,5.892,5.847,5.874,822725.33,UNIUSDT,1h,cryptocompare
2026-01-03 18:00:00+00:00,5.874,5.908,5.845,5.908,928235.76,UNIUSDT,1h,cryptocompare
2026-01-03 19:00:00+00:00,5.908,5.91,5.886,5.896,516338.38,UNIUSDT,1h,cryptocompare
2026-01-03 20:00:00+00:00,5.896,5.917,5.87,5.9,774868.5,UNIUSDT,1h,cryptocompare
